Kecamatan,Jumlah Penduduk,Luas Wilayah
Andir,98790,422
Antapani,77490,422
Arcamanik,74780,759
Astana Anyar,73696,268
Babakan Ciparay,137077,707
Bandung Kidul,58967,542
Bandung Kulon,131842,695
Bandung Wetan,28793,344
Batununggal,119959,482
Bojongloa Kaler,122927,312
Bojongloa Kidul,84836,520
Buahbatu,99461,746
Cibeunying Kaler,69077,464
Cibeunying Kidul,111140,414
Cibiru,72010,684
Cicendo,94998,779
Cidadap,53011,842
Cinambo,24812,425
Coblong,112337,731
Gedebage,39640,996
Kiaracondong,128574,580
Lengkong,70504,591
Mandalajati,69501,480
Panyileukan,38633,531
Rancasari,82029,701
Regol,79470,474
Sukajadi,100784,528
Sukasari,76256,636
Sumur Bandung,36233,349
Ujung Berung,84552,624
